sujeto,movimiento,tipo_artefacto_sospechado,eventos,canales_afectados,bandas_afectadas,z_max_abs,salto_max_abs
212260672,right,posible_muscular_beta_gamma,46,6,3,8.8783,18.1441
212260672,right,outlier_estadistico_extremo,21,9,4,15.4868,4.2231
212260672,right,posible_ocular_frontal_banda_baja,19,6,2,22.6238,8.357
212260672,right,posible_no_fisiologico_salto_o_pico,15,5,4,17.4172,68.147
222260671,all,salto_brusco_estadistico,729,14,5,4.499,1414.6222
222260671,all,posible_muscular_beta_gamma,480,6,3,173.6573,597.7465
222260671,all,posible_no_fisiologico_salto_o_pico,423,12,5,430.78,1377.4653
222260671,all,posible_ocular_frontal_banda_baja,217,6,2,242.1296,812.7165
222260671,all,outlier_estadistico_extremo,161,12,5,265.4051,4.4967
222260671,left,salto_brusco_estadistico,60,13,5,3.5425,25.3381
222260671,left,posible_muscular_beta_gamma,35,6,3,9.7128,21.584
222260671,left,outlier_estadistico_extremo,4,3,1,5.2461,1.2366
222260671,left,posible_ocular_frontal_banda_baja,3,2,1,9.6487,7.4957
222260671,left,posible_no_fisiologico_salto_o_pico,2,1,1,7.0822,25.631
222260671,pull,salto_brusco_estadistico,117,14,5,3.9272,68.8788
222260671,pull,posible_muscular_beta_gamma,74,6,3,130.6273,267.2891
222260671,pull,outlier_estadistico_extremo,29,4,4,17.1175,3.9689
222260671,pull,posible_ocular_frontal_banda_baja,27,3,2,174.4502,707.5432
222260671,pull,posible_no_fisiologico_salto_o_pico,21,3,5,17.2431,46.1808
222260671,push,salto_brusco_estadistico,74,14,5,4.1175,38.2014
222260671,push,posible_muscular_beta_gamma,65,6,3,86.5159,145.1674
222260671,push,outlier_estadistico_extremo,18,5,3,12.8949,3.9231
222260671,push,posible_ocular_frontal_banda_baja,16,4,2,7.7744,28.0673
222260671,push,posible_no_fisiologico_salto_o_pico,14,5,3,39.2053,56.8828
222260671,right,salto_brusco_estadistico,374,14,5,4.4949,531.4094
222260671,right,posible_muscular_beta_gamma,247,6,3,101.4395,453.0061
222260671,right,posible_no_fisiologico_salto_o_pico,167,11,5,278.6163,626.2557
222260671,right,posible_ocular_frontal_banda_baja,121,6,2,92.3118,134.6344
222260671,right,outlier_estadistico_extremo,92,11,5,464.9015,4.4967
22260552,all,posible_muscular_beta_gamma,3905,6,3,1424.8576,4708.6192
22260552,all,salto_brusco_estadistico,3400,14,5,4.4963,26239.725
22260552,all,posible_no_fisiologico_salto_o_pico,2574,12,5,7463.5247,14893.9493
22260552,all,outlier_estadistico_extremo,1362,12,5,291.7702,4.4992
22260552,all,posible_ocular_frontal_banda_baja,944,6,2,1986.7706,3807.9995
22260552,left,salto_brusco_estadistico,576,14,5,4.4927,229.8755
22260552,left,posible_muscular_beta_gamma,342,6,3,43.3281,136.4364
22260552,left,posible_no_fisiologico_salto_o_pico,276,12,5,181.6806,607.6003
22260552,left,outlier_estadistico_extremo,141,11,5,38.13,4.4714
22260552,left,posible_ocular_frontal_banda_baja,102,6,2,101.6161,320.4312
22260552,pull,salto_brusco_estadistico,1475,14,5,4.4979,520.26
22260552,pull,posible_no_fisiologico_salto_o_pico,755,12,5,295.6474,847.8309
22260552,pull,posible_muscular_beta_gamma,750,6,3,93.8454,174.9408
22260552,pull,outlier_estadistico_extremo,327,12,5,90.9658,4.453
22260552,pull,posible_ocular_frontal_banda_baja,259,6,2,92.026,67.1127
22260552,push,posible_no_fisiologico_salto_o_pico,252,12,5,557.7077,1170.1784
22260552,push,salto_brusco_estadistico,245,14,5,4.4638,26.4704
22260552,push,posible_muscular_beta_gamma,230,6,3,43.1573,105.1648
22260552,push,posible_ocular_frontal_banda_baja,99,6,2,127.7483,237.5638
22260552,push,outlier_estadistico_extremo,65,11,5,164.8877,4.4551
22260552,right,posible_no_fisiologico_salto_o_pico,997,12,5,6187.6033,13239.096
22260552,right,salto_brusco_estadistico,982,14,5,4.473,23324.17
22260552,right,posible_muscular_beta_gamma,772,6,3,1496.9579,4708.6192
22260552,right,posible_ocular_frontal_banda_baja,373,6,2,1680.1385,3326.9819
22260552,right,outlier_estadistico_extremo,317,12,5,221.0855,4.478
231260558,all,salto_brusco_estadistico,2959,14,5,4.494,289.8945
231260558,all,posible_muscular_beta_gamma,1955,6,3,32.6537,116.3952
231260558,all,outlier_estadistico_extremo,1437,12,5,41.731,4.4997
231260558,all,posible_no_fisiologico_salto_o_pico,1042,12,5,81.4201,290.2252
231260558,all,posible_ocular_frontal_banda_baja,313,6,2,31.6332,96.9693
231260558,left,salto_brusco_estadistico,781,14,5,4.4823,149.9042
231260558,left,posible_muscular_beta_gamma,396,6,3,14.3747,47.5673
231260558,left,outlier_estadistico_extremo,190,12,5,19.9142,4.4324
231260558,left,posible_no_fisiologico_salto_o_pico,166,11,5,38.4359,89.2737
231260558,left,posible_ocular_frontal_banda_baja,70,6,2,16.1138,33.8979
231260558,pull,salto_brusco_estadistico,1243,14,5,4.4966,42.5182
231260558,pull,posible_muscular_beta_gamma,440,6,3,14.0446,43.5453
231260558,pull,posible_no_fisiologico_salto_o_pico,218,12,5,39.8079,65.7638
231260558,pull,outlier_estadistico_extremo,184,12,5,29.2877,4.4967
231260558,pull,posible_ocular_frontal_banda_baja,168,6,2,48.1499,117.7364
231260558,push,salto_brusco_estadistico,435,14,5,4.4845,265.1563
231260558,push,posible_muscular_beta_gamma,182,6,3,25.3092,101.3825
231260558,push,posible_no_fisiologico_salto_o_pico,155,12,5,84.2942,294.6186
231260558,push,outlier_estadistico_extremo,88,11,5,46.5731,4.3689
231260558,push,posible_ocular_frontal_banda_baja,80,6,2,11.4646,37.5683
231260558,right,salto_brusco_estadistico,590,14,5,4.4734,52.1081
231260558,right,posible_muscular_beta_gamma,187,6,3,5.8662,19.3019
231260558,right,outlier_estadistico_extremo,41,9,4,12.8978,4.4762
231260558,right,posible_no_fisiologico_salto_o_pico,35,9,5,55.2396,256.1264
231260558,right,posible_ocular_frontal_banda_baja,20,5,2,8.1269,30.973
252260554,all,salto_brusco_estadistico,2196,14,5,4.4921,1254.2572
252260554,all,posible_muscular_beta_gamma,1138,6,3,32.362,102.7946
252260554,all,posible_no_fisiologico_salto_o_pico,606,12,5,799.6071,1876.2091
252260554,all,posible_ocular_frontal_banda_baja,510,6,2,147.3395,416.7907
252260554,all,outlier_estadistico_extremo,433,12,5,23.2967,4.4967
252260554,left,salto_brusco_estadistico,857,14,5,4.4924,549.9932
252260554,left,posible_muscular_beta_gamma,296,6,3,9.7183,26.1304
252260554,left,posible_no_fisiologico_salto_o_pico,197,11,5,149.2297,546.9644
252260554,left,outlier_estadistico_extremo,143,11,5,26.6869,4.4638
252260554,left,posible_ocular_frontal_banda_baja,116,6,2,33.7021,95.2634
252260554,pull,salto_brusco_estadistico,228,14,5,4.4152,32.2962
252260554,pull,posible_muscular_beta_gamma,125,6,3,13.6098,34.9897
