dataset,Clasificador,Accuracy,Kappa,MAE,RMSE,RAE_pct,RRSE_pct,AUC,EXITO,cv,folds,sujeto
212260569_all_sinArtefactosConservador,J48_C45,91.54,0.8493,0.0564,0.2375,14.68,54.18,0.8828,SI,bloques,3,212260569
212260569_all_sinArtefactosConservador,RandomForest,85.38,0.7366,0.2214,0.3027,57.61,69.06,0.8392,SI,bloques,3,212260569
212260666_all_noOutliers,NaiveBayes,46.73,0.0717,0.2658,0.5129,90.4,133.77,0.646,no,bloques,2,212260666
212260666_all_noOutliers,SMO_SVM,75.38,0.5666,0.1681,0.3174,57.19,82.79,0.8181,no,bloques,2,212260666
212260666_all_noOutliers,MLP,71.36,0.5002,0.1759,0.3437,59.82,89.65,0.7724,no,bloques,2,212260666
212260666_all_noOutliers,IBk_kNN,65.33,0.416,0.1734,0.4164,58.97,108.6,0.7224,no,bloques,2,212260666
212260666_all_noOutliers,RBFNetwork_aprox,69.35,0.419,0.1914,0.3333,65.11,86.94,0.7512,no,bloques,2,212260666
212260666_all_noOutliers,J48_C45,63.82,0.3496,0.1809,0.4253,61.54,110.94,0.6581,no,bloques,2,212260666
212260666_all_noOutliers,RandomForest,72.36,0.4576,0.2241,0.3253,76.23,84.84,0.7818,no,bloques,2,212260666
212260666_all_sinArtefactosConservador,NaiveBayes,65.04,0.3742,0.1739,0.4157,54.8,104.36,0.7267,no,bloques,2,212260666
212260666_all_sinArtefactosConservador,SMO_SVM,62.6,0.4547,0.2158,0.3589,68.0,90.09,0.8175,no,bloques,2,212260666
212260666_all_sinArtefactosConservador,MLP,65.85,0.4955,0.2115,0.3737,66.64,93.8,0.7681,no,bloques,2,212260666
212260666_all_sinArtefactosConservador,IBk_kNN,65.04,0.4957,0.1748,0.4181,55.07,104.95,0.7787,no,bloques,2,212260666
212260666_all_sinArtefactosConservador,RBFNetwork_aprox,69.11,0.4868,0.221,0.3525,69.63,88.49,0.7823,no,bloques,2,212260666
212260666_all_sinArtefactosConservador,J48_C45,79.67,0.6902,0.1016,0.3188,32.02,80.02,0.8408,SI,bloques,2,212260666
212260666_all_sinArtefactosConservador,RandomForest,78.86,0.6517,0.2195,0.3007,69.16,75.48,0.9074,SI,bloques,2,212260666
