sujeto,movimiento,variante_limpieza,estrategia_balanceo,modelo,clase,recall,precision,soporte,minoritaria
211260561,all,sinArtefactosConservador,smote,RBFNetwork_aprox,pull,0.2766,0.4815,47,True
211260561,all,sinArtefactosConservador,smote,RBFNetwork_aprox,push,0.7969,0.7034,128,False
211260561,all,sinArtefactosConservador,smote,RBFNetwork_aprox,right,0.2899,0.5882,69,False
211260561,all,sinArtefactosConservador,smote_tomek,SMO_SVM,left,0.7358,0.6842,159,False
211260561,all,sinArtefactosConservador,smote_tomek,SMO_SVM,pull,0.4681,0.3929,47,True
211260561,all,sinArtefactosConservador,smote_tomek,SMO_SVM,push,0.6406,0.7321,128,False
211260561,all,sinArtefactosConservador,smote_tomek,SMO_SVM,right,0.4928,0.5312,69,False
211260561,all,sinArtefactosConservador,smote_tomek,RandomForest,left,0.7987,0.6447,159,False
211260561,all,sinArtefactosConservador,smote_tomek,RandomForest,pull,0.234,0.3056,47,True
211260561,all,sinArtefactosConservador,smote_tomek,RandomForest,push,0.6562,0.6512,128,False
211260561,all,sinArtefactosConservador,smote_tomek,RandomForest,right,0.2174,0.3659,69,False
211260561,all,sinArtefactosConservador,smote_tomek,MLP,left,0.7233,0.7468,159,False
211260561,all,sinArtefactosConservador,smote_tomek,MLP,pull,0.4255,0.5556,47,True
211260561,all,sinArtefactosConservador,smote_tomek,MLP,push,0.8438,0.7105,128,False
211260561,all,sinArtefactosConservador,smote_tomek,MLP,right,0.4638,0.5246,69,False
211260561,all,sinArtefactosConservador,smote_tomek,IBk_kNN,left,0.7044,0.7568,159,False
211260561,all,sinArtefactosConservador,smote_tomek,IBk_kNN,pull,0.4681,0.4231,47,True
211260561,all,sinArtefactosConservador,smote_tomek,IBk_kNN,push,0.6875,0.704,128,False
211260561,all,sinArtefactosConservador,smote_tomek,IBk_kNN,right,0.5217,0.4615,69,False
211260561,all,sinArtefactosConservador,smote_tomek,RBFNetwork_aprox,left,0.8365,0.6751,159,False
211260561,all,sinArtefactosConservador,smote_tomek,RBFNetwork_aprox,pull,0.2766,0.4815,47,True
211260561,all,sinArtefactosConservador,smote_tomek,RBFNetwork_aprox,push,0.7969,0.7034,128,False
211260561,all,sinArtefactosConservador,smote_tomek,RBFNetwork_aprox,right,0.2899,0.5882,69,False
211260561,all,sinArtefactosConservador,random_undersampling_controlado,SMO_SVM,left,0.6981,0.7161,159,False
211260561,all,sinArtefactosConservador,random_undersampling_controlado,SMO_SVM,pull,0.4894,0.3333,47,True
211260561,all,sinArtefactosConservador,random_undersampling_controlado,SMO_SVM,push,0.6406,0.7523,128,False
211260561,all,sinArtefactosConservador,random_undersampling_controlado,SMO_SVM,right,0.4928,0.4857,69,False
211260561,all,sinArtefactosConservador,random_undersampling_controlado,RandomForest,left,0.7736,0.6613,159,False
211260561,all,sinArtefactosConservador,random_undersampling_controlado,RandomForest,pull,0.2128,0.4348,47,True
211260561,all,sinArtefactosConservador,random_undersampling_controlado,RandomForest,push,0.7188,0.6013,128,False
211260561,all,sinArtefactosConservador,random_undersampling_controlado,RandomForest,right,0.2754,0.4634,69,False
211260561,all,sinArtefactosConservador,random_undersampling_controlado,MLP,left,0.6792,0.7248,159,False
211260561,all,sinArtefactosConservador,random_undersampling_controlado,MLP,pull,0.4255,0.5263,47,True
211260561,all,sinArtefactosConservador,random_undersampling_controlado,MLP,push,0.8203,0.6863,128,False
211260561,all,sinArtefactosConservador,random_undersampling_controlado,MLP,right,0.4493,0.4921,69,False
211260561,all,sinArtefactosConservador,random_undersampling_controlado,IBk_kNN,left,0.761,0.6836,159,False
211260561,all,sinArtefactosConservador,random_undersampling_controlado,IBk_kNN,pull,0.4255,0.4762,47,True
