sujeto,movimiento,variante_limpieza,estrategia_balanceo,modelo,accuracy,balanced_accuracy,kappa,macro_f1,weighted_f1,recall_left,recall_pull,recall_push,recall_right,precision_left,precision_pull,precision_push,precision_right,auc,min_clase,problema_muestra,exito,observacion,cv,folds
211260561,all,sinArtefactosEstricto,sin_balanceo,RBFNetwork_aprox,68.37,55.75,0.526,0.5627,0.6529,0.8917,0.1562,0.7857,0.3966,0.7086,0.5,0.66,0.697,0.8367,32,False,no,"Recall crítico bajo en: pull, right",bloques,3.0
211260561,all,sinArtefactosEstricto,random_oversampling,SMO_SVM,69.05,64.51,0.557,0.6429,0.6895,0.8167,0.5625,0.6667,0.5345,0.7717,0.4615,0.6829,0.6739,0.8083,32,False,no,,bloques,3.0
211260561,all,sinArtefactosEstricto,random_oversampling,RandomForest,65.31,59.16,0.4903,0.6036,0.6417,0.8083,0.5,0.6786,0.3793,0.669,0.5926,0.6552,0.6286,0.8371,32,False,no,Recall crítico bajo en: right,bloques,3.0
211260561,all,sinArtefactosEstricto,random_oversampling,MLP,68.71,64.83,0.5513,0.6494,0.685,0.7917,0.5938,0.6905,0.5172,0.7724,0.5588,0.6374,0.6522,0.8486,32,False,no,,bloques,3.0
211260561,all,sinArtefactosEstricto,random_oversampling,IBk_kNN,69.05,63.57,0.5521,0.6478,0.6841,0.825,0.5938,0.7619,0.3621,0.7857,0.7917,0.6737,0.4286,0.7628,32,False,no,Recall crítico bajo en: right,bloques,3.0
211260561,all,sinArtefactosEstricto,random_oversampling,RBFNetwork_aprox,68.37,61.18,0.5362,0.6257,0.6726,0.8167,0.4375,0.7619,0.431,0.7101,0.5833,0.6667,0.6944,0.8237,32,False,no,"Recall crítico bajo en: pull, right",bloques,3.0
211260561,all,sinArtefactosEstricto,class_weight_balanced,SMO_SVM,69.39,65.29,0.5632,0.6481,0.6938,0.8167,0.5938,0.6667,0.5345,0.7903,0.4634,0.6667,0.6889,0.8296,32,False,no,,bloques,3.0
211260561,all,sinArtefactosEstricto,class_weight_balanced,RandomForest,67.01,59.06,0.5108,0.6099,0.6541,0.8083,0.4062,0.7857,0.3621,0.6599,0.7222,0.7021,0.6,0.8372,32,False,no,"Recall crítico bajo en: pull, right",bloques,3.0
211260561,all,sinArtefactosEstricto,class_weight_balanced,MLP,,,,,,,,,,,,,,,32,False,NO_APLICA,class_weight no soportado por este modelo,,
211260561,all,sinArtefactosEstricto,class_weight_balanced,IBk_kNN,,,,,,,,,,,,,,,32,False,NO_APLICA,class_weight no soportado por este modelo,,
211260561,all,sinArtefactosEstricto,class_weight_balanced,RBFNetwork_aprox,67.35,60.24,0.5219,0.6158,0.6623,0.8083,0.4375,0.75,0.4138,0.7132,0.6087,0.6495,0.6316,0.829,32,False,no,"Recall crítico bajo en: pull, right",bloques,3.0
211260561,all,sinArtefactosEstricto,smote,SMO_SVM,69.05,64.51,0.5565,0.6435,0.6893,0.8167,0.5625,0.6667,0.5345,0.7656,0.4615,0.6829,0.6889,0.8136,32,False,no,,bloques,3.0
211260561,all,sinArtefactosEstricto,smote,RandomForest,65.31,61.05,0.4972,0.6084,0.6428,0.7417,0.5938,0.7619,0.3448,0.6642,0.5429,0.7111,0.5714,0.8359,32,False,no,Recall crítico bajo en: right,bloques,3.0
211260561,all,sinArtefactosEstricto,smote,MLP,69.39,65.33,0.5604,0.6553,0.6915,0.8,0.5938,0.7024,0.5172,0.7742,0.5588,0.6413,0.6818,0.8473,32,False,no,,bloques,3.0
211260561,all,sinArtefactosEstricto,smote,IBk_kNN,65.99,64.09,0.5252,0.6238,0.6648,0.6917,0.6562,0.75,0.4655,0.8384,0.5,0.6774,0.45,0.7636,32,False,no,Recall crítico bajo en: right,bloques,3.0
211260561,all,sinArtefactosEstricto,smote,RBFNetwork_aprox,67.69,60.4,0.5262,0.6167,0.6662,0.8333,0.4375,0.7143,0.431,0.7092,0.5385,0.6593,0.6944,0.8305,32,False,no,"Recall crítico bajo en: pull, right",bloques,3.0
211260561,all,sinArtefactosEstricto,smote_tomek,SMO_SVM,69.05,64.51,0.5572,0.6425,0.6898,0.8167,0.5625,0.6667,0.5345,0.7717,0.45,0.6829,0.6889,0.8128,32,False,no,,bloques,3.0
211260561,all,sinArtefactosEstricto,smote_tomek,RandomForest,65.99,61.16,0.5046,0.6181,0.651,0.7667,0.5625,0.7381,0.3793,0.6667,0.6,0.7126,0.5641,0.8462,32,False,no,Recall crítico bajo en: right,bloques,3.0
211260561,all,sinArtefactosEstricto,smote_tomek,MLP,68.37,64.71,0.5467,0.6479,0.6818,0.775,0.5938,0.7024,0.5172,0.7623,0.5588,0.6413,0.6522,0.8503,32,False,no,,bloques,3.0
211260561,all,sinArtefactosEstricto,smote_tomek,IBk_kNN,65.31,63.67,0.5163,0.6189,0.6579,0.675,0.6562,0.75,0.4655,0.8351,0.5,0.6632,0.45,0.7603,32,False,no,Recall crítico bajo en: right,bloques,3.0
211260561,all,sinArtefactosEstricto,smote_tomek,RBFNetwork_aprox,67.69,60.4,0.5257,0.6174,0.6661,0.8333,0.4375,0.7143,0.431,0.7042,0.5385,0.6593,0.7143,0.8292,32,False,no,"Recall crítico bajo en: pull, right",bloques,3.0
211260561,all,sinArtefactosEstricto,random_undersampling_controlado,SMO_SVM,65.31,62.88,0.5094,0.6193,0.6553,0.7083,0.5938,0.6786,0.5345,0.7456,0.4419,0.6404,0.6458,0.8459,32,False,no,,bloques,3.0
211260561,all,sinArtefactosEstricto,random_undersampling_controlado,RandomForest,65.99,60.27,0.5107,0.6097,0.6536,0.6917,0.375,0.8095,0.5345,0.7345,0.5714,0.6239,0.6078,0.851,32,False,no,Recall crítico bajo en: pull,bloques,3.0
211260561,all,sinArtefactosEstricto,random_undersampling_controlado,MLP,64.63,62.24,0.5005,0.6128,0.647,0.675,0.5938,0.7381,0.4828,0.7714,0.475,0.5962,0.6222,0.8513,32,False,no,Recall crítico bajo en: right,bloques,3.0
211260561,all,sinArtefactosEstricto,random_undersampling_controlado,IBk_kNN,64.97,62.49,0.5034,0.6343,0.6552,0.7,0.625,0.7262,0.4483,0.8235,0.8,0.581,0.4194,0.7519,32,False,no,Recall crítico bajo en: right,bloques,3.0
211260561,all,sinArtefactosEstricto,random_undersampling_controlado,RBFNetwork_aprox,61.56,51.24,0.4356,0.5089,0.593,0.725,0.125,0.7857,0.4138,0.685,0.3636,0.5841,0.5581,0.8515,32,False,no,"Recall crítico bajo en: pull, right",bloques,3.0
211260561,left,noOutliers,sin_balanceo,SMO_SVM,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
211260561,left,noOutliers,sin_balanceo,RandomForest,,,,,,,,,,,,,,,0,True,NO_APLICA,menos de dos clases modelables,,
